customer_id,first_name,last_name,email,phone,tier_id,join_date,birth_date,newsletter_opt_in,notes,zip_code,referral_source,email_campaign_aug2023,loyalty_prompt_2024,upgrade_offer_sent
83,Brianna,Hamilton,brianna.hamilton@email.com,202-555-3063,3.0,2023-11-08,1992-02-17,False,,20036,instagram,,,True
108,Kevin,Li,kevin.li@email.com,202-555-3088,2.0,2023-11-04,1960-10-27,False,,20016,walk_by,,,True
94,Amir,Harris,amir.harris@email.com,202-555-3074,,2023-12-10,1967-12-24,True,,20003,friend_referral,,not_prompted,True
122,Elena,Zhang,elena.zhang@email.com,202-555-3102,2.0,2023-12-26,1982-07-14,False,,20816,friend_referral,,,True
96,Emma,McDonald,emma.mcdonald@email.com,202-555-3076,3.0,2023-12-26,2000-09-03,True,,20003,event,,,True
89,Samuel,Mitchell,samuel.mitchell@email.com,202-555-3069,2.0,2024-02-04,2005-02-03,True,,22201,friend_referral,,,True
130,Ariana,Young,ariana.young@email.com,202-555-3110,3.0,2024-07-22,1985-07-28,False,,20015,walk_by,,,True
95,Nora,Owens,nora.owens@email.com,202-555-3075,2.0,2024-07-25,1961-09-25,False,,20910,friend_referral,,,True
90,Sara,Wood,sara.wood@email.com,202-555-3070,1.0,2024-08-11,1997-09-26,True,,20010,google,,,True
81,Christian,Hayes,christian.hayes@email.com,202-555-3061,2.0,2024-08-14,1988-08-18,False,,20015,instagram,,,True
109,Daniel,Warren,daniel.warren@email.com,202-555-3089,2.0,2024-08-28,1962-06-06,False,,20016,walk_by,,,True
132,Grace,Anderson,grace.anderson@email.com,202-555-3112,1.0,2023-07-08,1968-03-15,False,,20019,walk_by,,not_prompted,False
133,Aisha,Ward,aisha.ward@email.com,202-555-3113,,2023-09-16,1998-08-16,False,,22204,google,,not_prompted,False
147,Anthony,Davis,anthony.davis@email.com,202-555-3127,1.0,2024-05-08,1959-06-25,True,,22302,yelp,,prompted,False
157,Zara,Hill,zara.hill@email.com,202-555-3137,,2023-11-09,2003-12-24,True,,22302,google,,not_prompted,False
167,Jennifer,Morgan,jennifer.morgan@email.com,202-555-3147,2.0,2023-10-10,1963-01-26,False,,20017,google,,prompted,False
137,Kevin,Khan,kevin.khan@email.com,202-555-3117,1.0,2023-05-20,1975-12-27,True,,22207,yelp,,not_prompted,True
142,Maya,Martinez,maya.martinez@email.com,202-555-3122,2.0,2023-06-29,1990-08-11,True,,20852,walk_by,,,True
182,William,Cruz,william.cruz@email.com,202-555-3162,3.0,2023-07-02,1992-09-15,True,,20036,walk_by,,,True
195,Adrian,Wagner,adrian.wagner@email.com,202-555-3175,4.0,2023-07-19,2000-05-19,False,,20016,friend_referral,,,True
153,Kira,Holland,kira.holland@email.com,202-555-3133,1.0,2023-07-12,1997-01-17,True,,20019,friend_referral,,not_prompted,True
164,Nicholas,Flores,nicholas.flores@email.com,202-555-3144,2.0,2023-07-23,1963-02-06,True,,20912,google,,,True
176,Jessica,Suzuki,jessica.suzuki@email.com,202-555-3156,1.0,2023-07-16,2001-12-10,False,,22304,yelp,,prompted,True
174,Madison,James,madison.james@email.com,202-555-3154,2.0,2023-08-03,1958-03-19,False,,22202,friend_referral,,,True
163,Jacob,Huang,jacob.huang@email.com,202-555-3143,2.0,2023-07-26,1996-03-09,False,,20815,walk_by,,prompted,True
162,Leo,Knight,leo.knight@email.com,202-555-3142,3.0,2023-09-05,1989-11-24,False,,20015,google,,,True
131,Riley,Sharma,riley.sharma@email.com,202-555-3111,1.0,2023-09-20,1998-10-02,True,,20012,friend_referral,,prompted,True
134,Megan,Sanchez,megan.sanchez@email.com,202-555-3114,3.0,2023-09-16,1979-05-18,False,,20002,google,,,True
170,Sara,Knight,sara.knight@email.com,202-555-3150,2.0,2023-10-12,1993-12-14,True,,22204,walk_by,,,True
173,Luna,Huang,luna.huang@email.com,202-555-3153,1.0,2023-10-13,1996-11-23,False,,20814,yelp,,not_prompted,True
135,Alexis,Gonzalez,alexis.gonzalez@email.com,202-555-3115,3.0,2023-10-26,1966-05-16,False,,20009,event,,,True
158,Julia,Perry,julia.perry@email.com,202-555-3138,3.0,2023-09-26,2002-05-15,True,,20912,friend_referral,,,True
138,Eric,Wright,eric.wright@email.com,202-555-3118,2.0,2023-11-12,1964-05-02,False,,20015,friend_referral,,prompted,True
159,Ruby,Gutierrez,ruby.gutierrez@email.com,202-555-3139,2.0,2023-11-13,1972-01-24,True,,20814,friend_referral,,,True
193,Carter,Ferguson,carter.ferguson@email.com,202-555-3173,2.0,2023-11-05,1966-11-07,False,,20816,friend_referral,,,True
247,Nicholas,Moore,nicholas.moore@email.com,202-555-3227,1.0,2024-07-29,1989-05-21,False,,20815,walk_by,,,False
220,Penelope,Li,penelope.li@email.com,202-555-3200,1.0,2023-11-19,1980-01-09,False,,20009,instagram,,not_prompted,False
225,Alexis,Peterson,alexis.peterson@email.com,202-555-3205,1.0,2023-11-27,1973-10-09,False,,20015,walk_by,,not_prompted,False
226,Nora,Dunn,nora.dunn@email.com,202-555-3206,1.0,2023-11-06,1962-12-03,True,,20017,friend_referral,,not_prompted,False
230,Michael,Howard,michael.howard@email.com,202-555-3210,,2023-08-07,1987-06-16,True,,22201,friend_referral,,prompted,False
241,Claire,Graham,claire.graham@email.com,202-555-3221,,2024-03-05,1979-11-04,True,,20009,event,,not_prompted,False
207,Felix,Carter,felix.carter@email.com,202-555-3187,4.0,2023-05-01,1975-04-19,True,,22201,walk_by,,,True
222,Sara,Davis,sara.davis@email.com,202-555-3202,1.0,2023-05-20,1966-10-07,False,,20002,friend_referral,,not_prompted,True
199,Luna,Owens,luna.owens@email.com,202-555-3179,2.0,2023-06-07,1973-07-07,False,,20852,event,,,True
228,Sydney,Walker,sydney.walker@email.com,202-555-3208,3.0,2023-09-02,1964-12-04,False,,22204,yelp,,,True
249,Thomas,Diaz,thomas.diaz@email.com,202-555-3229,2.0,2023-07-23,1968-01-05,False,,22314,friend_referral,,prompted,True
202,Andrew,Foster,andrew.foster@email.com,202-555-3182,2.0,2023-08-21,1991-03-24,True,,22314,event,,prompted,True
242,Eric,Mason,eric.mason@email.com,202-555-3222,3.0,2023-10-04,1968-05-18,True,,20002,instagram,,,True
224,Charles,Price,charles.price@email.com,202-555-3204,3.0,2023-10-07,2005-02-26,False,,22314,instagram,,,True
203,Adam,McDonald,adam.mcdonald@email.com,202-555-3183,3.0,2023-11-02,1966-11-19,False,,20910,instagram,,,True
219,Fiona,Patel,fiona.patel@email.com,202-555-3199,3.0,2023-11-17,1962-08-20,True,,22207,google,,,True
209,Carter,Davis,carter.davis@email.com,202-555-3189,1.0,2023-10-30,1996-01-26,True,,20005,friend_referral,,not_prompted,True
244,Zara,Perez,zara.perez@email.com,202-555-3224,2.0,2023-10-09,1991-09-11,True,,20815,walk_by,,prompted,True
227,Eliana,Jordan,eliana.jordan@email.com,202-555-3207,,2023-09-26,1973-05-06,False,,20020,event,,not_prompted,True
216,Benjamin,Spencer,benjamin.spencer@email.com,202-555-3196,2.0,2023-11-10,1976-04-12,False,,20037,instagram,,prompted,True
215,Ethan,Shah,ethan.shah@email.com,202-555-3195,4.0,2024-02-04,1996-11-09,False,,20037,walk_by,,,True
210,Blake,Ryan,blake.ryan@email.com,202-555-3190,3.0,2024-05-29,1992-03-06,True,,20852,friend_referral,,,True
211,Nicole,Ortiz,nicole.ortiz@email.com,202-555-3191,1.0,2024-04-10,1969-06-27,False,,22204,instagram,,prompted,True
246,Brandon,Ramirez,brandon.ramirez@email.com,202-555-3226,2.0,2024-06-08,1979-08-08,True,,22207,instagram,,,True
205,Nicole,Diaz,nicole.diaz@email.com,202-555-3185,4.0,2024-06-29,1961-09-28,False,,20009,friend_referral,,,True
245,Logan,Yang,logan.yang@email.com,202-555-3225,2.0,2023-09-20,1993-10-06,True,,,walk_by,,not_prompted,True
80,Logan,Cohen,logan.cohen@email.com,202-555-3060,1.0,2023-01-06,1983-09-02,False,,20815,friend_referral,treatment,prompted,False
212,Jesse,Kumar,jesse.kumar@email.com,202-555-3192,,2023-01-21,1989-10-14,False,,20852,friend_referral,treatment,prompted,False
30,Caroline,Cunningham,caroline.cunningham@email.com,202-555-3010,,2023-11-03,1964-05-07,True,,20011,event,,not_prompted,False
32,Anna,Li,anna.li@email.com,202-555-3012,2.0,2023-09-16,1978-10-04,False,,20037,google,,prompted,False
54,Adrian,Edwards,adrian.edwards@email.com,202-555-3034,,2023-06-27,1965-01-24,False,,22302,google,,not_prompted,False
58,Isaac,Robinson,isaac.robinson@email.com,202-555-3038,,2023-01-11,1989-11-16,True,,20814,friend_referral,,not_prompted,False
46,David,Cruz,david.cruz@email.com,202-555-3026,1.0,2023-06-29,1958-03-08,False,,22304,walk_by,,prompted,True
192,Nicholas,Cooper,nicholas.cooper@email.com,202-555-3172,2.0,2023-07-01,1986-09-18,True,,22203,yelp,,prompted,True
129,Chloe,Douglas,chloe.douglas@email.com,202-555-3109,,2023-04-27,1970-06-02,False,,22301,friend_referral,control,prompted,False
188,Peter,Green,peter.green@email.com,202-555-3168,,2023-12-15,1980-02-10,False,,20001,google,,prompted,False
221,Daniel,Morris,daniel.morris@email.com,202-555-3201,,2023-02-05,1975-07-24,False,,20018,walk_by,treatment,not_prompted,False
37,Amelia,Washington,amelia.washington@email.com,202-555-3017,2.0,2023-05-10,1972-10-14,True,,22301,walk_by,,prompted,True
229,Eric,White,eric.white@email.com,202-555-3209,2.0,2023-03-19,1964-09-13,True,,20036,yelp,control,prompted,True
22,Omar,Watson,omar.watson@email.com,202-555-3002,2.0,2023-06-30,1981-08-13,False,,20912,yelp,,not_prompted,True
187,Ethan,Ferguson,ethan.ferguson@email.com,202-555-3167,1.0,2023-07-22,1968-09-12,True,,20815,walk_by,,prompted,True
29,Naomi,Lawrence,naomi.lawrence@email.com,202-555-3009,2.0,2023-05-02,1996-08-23,True,,20005,walk_by,,not_prompted,True
66,Riley,Powell,riley.powell@email.com,202-555-3046,1.0,2023-09-18,1962-02-03,False,,20015,walk_by,,prompted,True
55,Riley,Jones,riley.jones@email.com,202-555-3035,1.0,2023-11-18,1996-12-28,False,,20012,walk_by,,prompted,True
190,Eliana,Roberts,eliana.roberts@email.com,202-555-3170,1.0,2023-11-08,2000-03-01,False,,20015,yelp,,not_prompted,True
185,Sierra,Ross,sierra.ross@email.com,202-555-3165,1.0,2023-11-24,1983-12-14,False,,20020,walk_by,,prompted,True
62,Megan,Allen,megan.allen@email.com,202-555-3042,2.0,2024-04-12,1968-07-26,True,,20016,walk_by,,prompted,True
65,Carmen,Carter,carmen.carter@email.com,202-555-3045,2.0,2024-05-12,1975-07-06,False,,20018,instagram,,prompted,True
70,Aaliyah,Flores,aaliyah.flores@email.com,202-555-3050,1.0,2023-12-23,1960-08-06,False,,,friend_referral,,not_prompted,False
34,Connor,Larson,connor.larson@email.com,202-555-3014,2.0,2023-09-01,1990-04-27,True,,,walk_by,,prompted,True
4,Aiden,Patel,aiden.p@email.com,202-555-2004,3.0,2022-10-01,1992-01-30,True,Premium member. Adopted Shadow!,20017,friend_referral,control,,True
1,Maya,Chen,maya.chen@email.com,202-555-2001,4.0,2022-06-01,1990-03-15,True,Original founding member. Visits weekly. Loves Whiskers.,20009,walk_by,treatment,,True
6,Marcus,Johnson,marcus.j@email.com,202-555-2006,3.0,2023-04-01,1998-05-20,True,"Basic member. Graduate student, visits on weekends.",20008,friend_referral,control,,True
8,David,Garcia,dgarcia@email.com,202-555-2008,2.0,2023-09-01,2000-12-03,True,Basic member. Considering adoption.,20005,google,control,,True
3,Sofia,Rodriguez,sofia.r@email.com,202-555-2003,3.0,2022-08-15,1995-11-08,True,Premium member. Often brings friends.,20010,friend_referral,control,,True
11,Olivia,Brown,obrown@email.com,202-555-2011,1.0,2023-03-10,1991-06-30,False,Occasional visitor. Lives nearby.,20003,walk_by,treatment,prompted,True
7,Lily,Kim,lily.kim@email.com,202-555-2007,2.0,2023-06-15,1994-09-12,False,Basic member. Allergic to some breeds but loves cats.,20007,walk_by,control,,True
5,Emma,Thompson,emma.t@email.com,202-555-2005,3.0,2023-02-14,1988-02-14,True,Premium member. Photography enthusiast.,20036,yelp,treatment,,True
14,Lucas,Anderson,lucas.a@email.com,202-555-2014,1.0,2024-02-28,2001-07-19,False,College student. Visits during breaks.,20016,walk_by,,prompted,True
10,Nathan,Lee,nathan.lee@email.com,202-555-2010,2.0,2024-05-20,1993-08-25,False,Basic member. Cat photography hobby.,20036,walk_by,treatment,,True
19,Charlotte,Harris,charlotte.h@email.com,202-555-2019,,2025-01-02,1996-12-15,True,"New visitor, very enthusiastic.",,instagram,control,not_prompted,False
13,Ava,Martinez,ava.m@email.com,202-555-2013,2.0,2023-11-15,1997-10-11,True,Interested in volunteering.,20003,friend_referral,,prompted,True
9,Priya,Sharma,priya.s@email.com,202-555-2009,2.0,2024-01-10,1996-04-18,True,Basic member. Works from cafe sometimes.,20017,friend_referral,treatment,,True
15,Mia,Taylor,mia.taylor@email.com,202-555-2015,1.0,2024-06-10,1989-11-27,True,Adopted Pumpkin!,20002,walk_by,,prompted,True
12,Ethan,Davis,ethan.d@email.com,202-555-2012,1.0,2023-07-22,1999-03-05,False,"First-time visitor, became regular.",20003,yelp,treatment,not_prompted,True
17,Isabella,Jackson,isabella.j@email.com,202-555-2017,2.0,2024-09-15,1994-02-08,False,Considering membership.,20008,friend_referral,control,prompted,True
18,Liam,White,liam.w@email.com,202-555-2018,,2024-11-01,,False,Referred by friend.,20008,friend_referral,control,not_prompted,True
16,Noah,Thomas,noah.t@email.com,202-555-2016,,2024-08-01,,False,"Tourist, one-time visitor.",20008,walk_by,control,not_prompted,True
196,Austin,Richardson,austin.richardson@email.com,202-555-3176,3.0,2022-07-10,1989-09-16,False,,22204,friend_referral,treatment,,True
103,Jennifer,Anderson,jennifer.anderson@email.com,202-555-3083,2.0,2022-07-22,1972-10-20,False,,22202,friend_referral,treatment,,True
248,Jason,Williams,jason.williams@email.com,202-555-3228,1.0,2022-07-25,1984-04-28,True,,22302,walk_by,control,prompted,True
67,Diana,Reed,diana.reed@email.com,202-555-3047,3.0,2022-07-19,2001-01-23,False,,20852,walk_by,control,,True
39,Katherine,Reed,katherine.reed@email.com,202-555-3019,2.0,2022-08-08,1983-09-28,True,,20815,friend_referral,control,,True
79,Emma,Reynolds,emma.reynolds@email.com,202-555-3059,,2022-07-25,1977-04-23,True,,20814,walk_by,control,prompted,True
68,Michelle,Martinez,michelle.martinez@email.com,202-555-3048,1.0,2022-08-16,1988-01-07,True,,20002,google,control,prompted,True
149,Elena,Young,elena.young@email.com,202-555-3129,3.0,2022-08-22,1971-08-14,True,,22207,google,control,,True
243,Julian,Hamilton,julian.hamilton@email.com,202-555-3223,1.0,2022-08-29,2002-06-17,True,,20817,walk_by,control,not_prompted,True
120,Ethan,Baker,ethan.baker@email.com,202-555-3100,3.0,2022-09-18,1958-04-16,True,,20002,event,control,,True
191,Emma,Bennett,emma.bennett@email.com,202-555-3171,2.0,2022-09-05,1965-04-23,False,,20816,walk_by,,prompted,True
116,Jessica,Hall,jessica.hall@email.com,202-555-3096,1.0,2022-09-22,1968-03-23,False,,20017,friend_referral,treatment,not_prompted,True
197,Henry,Quinn,henry.quinn@email.com,202-555-3177,3.0,2022-09-27,1975-06-04,False,,20009,walk_by,treatment,,True
186,Justin,Chapman,justin.chapman@email.com,202-555-3166,2.0,2022-09-28,1985-10-01,False,,20003,friend_referral,treatment,,True
35,Adam,Brooks,adam.brooks@email.com,202-555-3015,1.0,2022-10-04,1961-07-09,True,,20009,google,control,prompted,True
2,James,Wilson,jwilson@email.com,202-555-2002,4.0,2022-06-01,1985-07-22,True,Founding member. Prefers quiet cats.,,walk_by,treatment,,True
198,Blake,Kim,blake.kim@email.com,202-555-3178,3.0,2022-08-08,1979-05-04,False,,,event,treatment,,True
97,Zachary,Walker,zachary.walker@email.com,202-555-3077,3.0,2022-09-16,1972-03-26,False,,,walk_by,treatment,,True
45,Zara,Burke,zara.burke@email.com,202-555-3025,1.0,2022-09-29,2003-11-28,True,,20020,walk_by,treatment,not_prompted,True
233,Adrian,Stewart,adrian.stewart@email.com,202-555-3213,3.0,2022-10-21,1972-08-09,True,,20816,walk_by,control,,True
73,Aria,Wagner,aria.wagner@email.com,202-555-3053,4.0,2022-10-26,1989-11-04,False,,20012,yelp,treatment,,True
231,Fatima,Stewart,fatima.stewart@email.com,202-555-3211,2.0,2022-10-19,1998-12-02,False,,20010,friend_referral,treatment,,True
204,Sarah,Rogers,sarah.rogers@email.com,202-555-3184,2.0,2022-10-02,1972-10-23,True,,20016,google,treatment,prompted,True
179,Carmen,Cooper,carmen.cooper@email.com,202-555-3159,3.0,2022-10-30,1957-08-10,False,,20002,google,control,,True
178,Xavier,Carter,xavier.carter@email.com,202-555-3158,2.0,2022-10-24,2004-01-10,False,,20912,walk_by,control,not_prompted,True
148,Maria,Larson,maria.larson@email.com,202-555-3128,3.0,2022-10-30,1992-12-18,True,,20910,walk_by,control,,True
31,Matthew,Jackson,matthew.jackson@email.com,202-555-3011,2.0,2022-11-05,1958-01-25,False,,20814,walk_by,treatment,,True
232,Benjamin,Bryant,benjamin.bryant@email.com,202-555-3212,4.0,2022-11-06,1985-08-03,False,,20814,friend_referral,control,,True
152,Christina,Rodriguez,christina.rodriguez@email.com,202-555-3132,4.0,2022-11-04,1988-04-14,False,,20020,walk_by,treatment,,True
165,Ava,Peterson,ava.peterson@email.com,202-555-3145,4.0,2022-11-08,1964-12-13,False,,20910,walk_by,treatment,,True
121,Stella,Chen,stella.chen@email.com,202-555-3101,3.0,2022-11-23,1958-06-09,False,,20912,yelp,treatment,,True
239,Aria,Cooper,aria.cooper@email.com,202-555-3219,1.0,2022-11-14,2000-09-11,True,,22301,walk_by,control,prompted,True
126,Sydney,Ward,sydney.ward@email.com,202-555-3106,3.0,2022-11-23,1965-03-24,True,,20008,yelp,treatment,,True
128,Eli,Spencer,eli.spencer@email.com,202-555-3108,3.0,2022-11-21,1991-10-26,True,,20015,google,control,,True
88,Benjamin,Vargas,benjamin.vargas@email.com,202-555-3068,1.0,2022-11-18,1984-10-11,False,,20020,event,treatment,not_prompted,True
101,Paul,Wood,paul.wood@email.com,202-555-3081,1.0,2022-12-07,1988-07-19,True,,22314,instagram,treatment,not_prompted,True
201,Sarah,Carter,sarah.carter@email.com,202-555-3181,3.0,2022-12-04,2004-07-07,True,,20912,friend_referral,treatment,,True
237,Kevin,Zhang,kevin.zhang@email.com,202-555-3217,3.0,2022-12-15,1987-01-26,False,,20008,friend_referral,control,,True
234,Samantha,Larson,samantha.larson@email.com,202-555-3214,1.0,2022-12-12,1980-06-16,False,,20012,walk_by,control,prompted,True
206,Adrian,Robinson,adrian.robinson@email.com,202-555-3186,2.0,2022-12-09,1989-07-26,False,,20007,walk_by,control,not_prompted,True
82,Zoe,Phillips,zoe.phillips@email.com,202-555-3062,2.0,2022-12-22,1983-01-18,True,,20016,yelp,treatment,,True
98,Emma,Evans,emma.evans@email.com,202-555-3078,3.0,2022-12-23,1976-07-02,False,,20016,yelp,treatment,,True
63,Connor,Kelly,connor.kelly@email.com,202-555-3043,3.0,2022-12-28,1962-01-15,False,,20009,friend_referral,treatment,,True
214,Sophia,Barnes,sophia.barnes@email.com,202-555-3194,2.0,2022-11-13,1983-11-03,True,,20912,walk_by,treatment,not_prompted,True
172,Joseph,Green,joseph.green@email.com,202-555-3152,2.0,2023-01-13,2002-05-23,True,,20011,friend_referral,treatment,,True
218,Jordan,Hall,jordan.hall@email.com,202-555-3198,2.0,2023-01-22,1978-12-21,False,,22304,event,control,,True
154,Logan,Taylor,logan.taylor@email.com,202-555-3134,2.0,2023-01-21,1978-07-11,True,,22207,friend_referral,,prompted,True
156,Liam,Young,liam.young@email.com,202-555-3136,,2023-01-16,1971-07-16,True,,20016,event,control,not_prompted,True
160,Andrea,Bennett,andrea.bennett@email.com,202-555-3140,3.0,2023-01-29,1963-11-03,False,,20010,walk_by,control,,True
71,Mark,Douglas,mark.douglas@email.com,202-555-3051,2.0,2023-02-02,1969-07-15,False,,20912,event,treatment,,True
236,Alexis,Carter,alexis.carter@email.com,202-555-3216,2.0,2023-02-05,1988-12-27,False,,20003,walk_by,treatment,,True
143,Jayden,Torres,jayden.torres@email.com,202-555-3123,4.0,2023-02-06,1995-12-10,True,,20815,walk_by,treatment,,True
43,Owen,Hernandez,owen.hernandez@email.com,202-555-3023,3.0,2023-02-10,1976-08-11,True,,20001,google,control,,True
200,Christopher,Carter,christopher.carter@email.com,202-555-3180,1.0,2023-01-28,1994-01-10,True,,22204,yelp,treatment,prompted,True
194,Michelle,Patel,michelle.patel@email.com,202-555-3174,2.0,2023-02-09,1965-05-26,True,,20020,walk_by,control,,True
161,Stella,Adams,stella.adams@email.com,202-555-3141,1.0,2023-02-02,1998-03-13,True,,20019,google,control,prompted,True
223,Faith,Ali,faith.ali@email.com,202-555-3203,2.0,2023-02-13,1987-05-17,False,,20011,walk_by,control,,True
208,Harper,Stewart,harper.stewart@email.com,202-555-3188,1.0,2023-02-12,1989-09-28,False,,20001,event,treatment,not_prompted,True
171,Stella,Hall,stella.hall@email.com,202-555-3151,2.0,2022-10-15,1992-01-05,False,,,friend_referral,treatment,prompted,True
52,Kai,Chapman,kai.chapman@email.com,202-555-3032,2.0,2022-12-18,1982-10-14,False,,,walk_by,control,,True
213,Peter,Boyd,peter.boyd@email.com,202-555-3193,2.0,2023-01-09,1978-06-11,True,,,walk_by,treatment,,True
47,Adam,Nelson,adam.nelson@email.com,202-555-3027,3.0,2023-01-18,1999-10-13,True,,,friend_referral,treatment,,True
56,Tyler,Jordan,tyler.jordan@email.com,202-555-3036,3.0,2023-02-12,1997-08-16,True,,20009,walk_by,control,,True
25,Julian,Kumar,julian.kumar@email.com,202-555-3005,3.0,2023-02-04,1981-11-18,False,,20008,walk_by,treatment,,True
78,Adam,Boyd,adam.boyd@email.com,202-555-3058,2.0,2023-02-11,1997-11-12,True,,20037,walk_by,treatment,prompted,True
240,Carlos,Long,carlos.long@email.com,202-555-3220,4.0,2023-02-22,1998-06-02,True,,22207,yelp,control,,True
125,David,Silva,david.silva@email.com,202-555-3105,1.0,2023-02-23,2005-07-10,False,,22207,walk_by,treatment,not_prompted,True
57,Fiona,Ellis,fiona.ellis@email.com,202-555-3037,2.0,2023-02-15,1985-10-04,False,,20005,walk_by,treatment,,True
117,Alexis,Grant,alexis.grant@email.com,202-555-3097,,2023-01-26,1984-11-15,True,,22302,walk_by,control,prompted,True
21,Alexis,Wright,alexis.wright@email.com,202-555-3001,2.0,2023-01-12,1974-11-05,True,,22304,google,treatment,,True
75,Katherine,Nguyen,katherine.nguyen@email.com,202-555-3055,3.0,2023-02-22,1991-12-10,True,,20015,walk_by,control,,True
111,Benjamin,Silva,benjamin.silva@email.com,202-555-3091,2.0,2023-03-05,1988-10-23,True,,20003,walk_by,control,,True
92,Colin,Barnes,colin.barnes@email.com,202-555-3072,1.0,2023-03-10,1993-11-21,True,,20002,event,control,prompted,True
69,Henry,Hill,henry.hill@email.com,202-555-3049,4.0,2023-03-11,1958-08-06,False,,20020,walk_by,control,,True
189,Madison,Allen,madison.allen@email.com,202-555-3169,4.0,2023-03-13,2005-10-28,False,,22304,walk_by,treatment,,True
38,Hannah,Douglas,hannah.douglas@email.com,202-555-3018,2.0,2023-03-14,2005-08-05,True,,20005,yelp,control,,True
175,Julia,Patel,julia.patel@email.com,202-555-3155,1.0,2023-03-02,1958-07-05,False,,20912,friend_referral,control,not_prompted,True
118,Ruby,Wood,ruby.wood@email.com,202-555-3098,3.0,2023-03-09,1971-04-01,False,,20852,google,control,,True
